SESSION: 2020-10-26T22:35:26-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"49a2ccb0-2303-4e18-8948-292d0f6db1781603769665893\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"c2e5714794734e6535d4168cc563d40e42672d3f3667f8d4f5d8c06f3312f22c\",\"filePath\":\"reports.html\",\"repoUrl\":null}"} 
ERROR: 2020-10-26T22:35:27-05:00 {"source":"MetadataProvider.getHistoricRepoCommitData","message":". : File X:\\Documents\\WindowsPowerShell\\profile.ps1 cannot be loaded because running scripts is disabled on this \r\nsystem. For more information, see about_Execution_Policies at https:/go.microsoft.com/fwlink/?LinkID=135170.\r\nAt line:1 char:3\r\n+ . 'X:\\Documents\\WindowsPowerShell\\profile.ps1'\r\n+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : SecurityError: (:) [], PSSecurityException\r\n    + FullyQualifiedErrorId : UnauthorizedAccess\r\nerror: too many arguments given outside repository\nusage: git shortlog [<options>] [<revision-range>] [[--] <path>...]\n   or: git log --pretty=short | git shortlog [<options>]\n\n    -c, --committer       Group by committer rather than author\n    -n, --numbered        sort output according to the number of commits per author\n    -s, --summary         Suppress commit descriptions, only provides commit count\n    -e, --email           Show the email address of each author\n    -w[<w>[,<i1>[,<i2>]]]\n                          Linewrap output\n\n"} 
SESSION: 2020-10-27T11:45:18-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"594523a5-bebb-413c-9630-97033336da6b1603817090604\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"0bab5cf793c47525a0a8f9832a6050f200cab243432181f6f9a0f9bdba173499\",\"filePath\":\".next\\\\server\\\\pages\\\\_app.js\",\"repoUrl\":null}"} 
ERROR: 2020-10-27T11:45:19-05:00 {"source":"MetadataProvider.getHistoricRepoCommitData","message":". : File X:\\Documents\\WindowsPowerShell\\profile.ps1 cannot be loaded because running scripts is disabled on this \r\nsystem. For more information, see about_Execution_Policies at https:/go.microsoft.com/fwlink/?LinkID=135170.\r\nAt line:1 char:3\r\n+ . 'X:\\Documents\\WindowsPowerShell\\profile.ps1'\r\n+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : SecurityError: (:) [], PSSecurityException\r\n    + FullyQualifiedErrorId : UnauthorizedAccess\r\n"} 
ERROR: 2020-10-27T11:45:19-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:45:59-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:46:41-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:46:48-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:48:42-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:51:15-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:56:41-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:57:03-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Expecting Unicode escape sequence \\uXXXX (1:1)"}} 
ERROR: 2020-10-27T11:57:16-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:57:44-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:57:51-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:58:31-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:59:30-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:59:31-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Unexpected token, expected \";\" (2:47)"}} 
ERROR: 2020-10-27T11:59:46-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T11:59:47-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Unexpected token, expected \";\" (2:47)"}} 
ERROR: 2020-10-27T11:59:54-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:02:04-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:02:07-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:02:16-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:02:22-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T12:05:43-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"No message exists"}} 
ERROR: 2020-10-27T12:05:43-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"No message exists"}} 
ERROR: 2020-10-27T12:05:48-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"connection closed"}} 
