SESSION: 2020-10-27T20:45:56-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"46c7d77b-67bf-4bfd-b549-137bb7b0156a1603849515580\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"5b7065e90caf6de092e274e10b664f58997dc1b5cc03a57287a895e0320730d4\",\"filePath\":\"webapp\\\\server\\\\.babelrc\",\"repoUrl\":null}"} 
ERROR: 2020-10-27T20:45:58-05:00 {"source":"MetadataProvider.getHistoricRepoCommitData","message":". : File X:\\Documents\\WindowsPowerShell\\profile.ps1 cannot be loaded because running scripts is disabled on this \r\nsystem. For more information, see about_Execution_Policies at https:/go.microsoft.com/fwlink/?LinkID=135170.\r\nAt line:1 char:3\r\n+ . 'X:\\Documents\\WindowsPowerShell\\profile.ps1'\r\n+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : SecurityError: (:) [], PSSecurityException\r\n    + FullyQualifiedErrorId : UnauthorizedAccess\r\n"} 
ERROR: 2020-10-27T20:46:02-05:00 {"source":"Extension.uncaughtException","message":"write EPIPE"} 
SESSION: 2020-10-27T20:46:35-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"a1f23ebc-29b2-42d3-a947-4184281f7bcf1603849559517\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"79e9bb0c8e84800108e934f2212acfa8da4c6793db1dd24131cc2ea1780622ea\",\"filePath\":\"client\\\\src\\\\App.js\",\"repoUrl\":null}"} 
ERROR: 2020-10-27T20:46:49-05:00 {"source":"MetadataProvider.getHistoricRepoCommitData","message":". : File X:\\Documents\\WindowsPowerShell\\profile.ps1 cannot be loaded because running scripts is disabled on this \r\nsystem. For more information, see about_Execution_Policies at https:/go.microsoft.com/fwlink/?LinkID=135170.\r\nAt line:1 char:3\r\n+ . 'X:\\Documents\\WindowsPowerShell\\profile.ps1'\r\n+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n    + CategoryInfo          : SecurityError: (:) [], PSSecurityException\r\n    + FullyQualifiedErrorId : UnauthorizedAccess\r\n"} 
ERROR: 2020-10-27T20:47:14-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:02-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:06-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:30-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:32-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:48-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:49-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:49-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:51-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:02:56-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:05:05-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:05:13-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:05:18-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:05:28-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
